Counting Date	Counter	Species	Plot	Plant ID	Collection Date	Weight (g)	Seed Count	Glume Count	Seed estimate	Notes
7/5/16	VP	AB	137	X1203	18-May-16	3.19	NA	136	272	AB
7/6/16	GD	AB	160	X755	19-May-16	1.36	NA	68	136	AB
7/6/16	SK	AB	185	X1591	20-May-16	3.99	NA	165	330	AF
7/6/16	EL	AB	180	X1481	20-May-16	0.52	NA	38	76	AB
7/6/16	VR	AB	13	X1490	20-May-16	0.29	NA	14	28	AB
7/6/16	JZ	AB	210	X1686	20-May-16	0.94	NA	31	62	AB
7/6/16	JZ	AB	170	X1396	19-May-16	1.08	NA	62	124	AB
7/6/16	GD	AB	57	X1160	18-May-16	4.28	NA	227	454	AB
7/6/16	EL	AB	135	X1189	18-May-16	0.29	NA	11	22	AF
7/6/16	VR	AB	126	X1074	18-May-16	1.12	NA	37	74	AF
7/6/16	J	AB	162	X1355	19-May-16	1.44	NA	57	114	AF
7/6/16	VP	AB	168	X1383	19-May-16	0.77	NA	34	68	AB
7/6/16	EL	AB	134	X1179	18-May-16	0.72	NA	19	38	AF
7/6/16	JZ	AB	45	X1475	20-May-16	1.16	NA	31	62	AB
7/6/16	EL	AB	39	X1164	18-May-16	1.00	NA	52	104	AB
7/6/16	VP	AB	108	X313	12-May-16	1.62	NA	34	68	AB
7/6/16	JZ	AB	163	X1402	19-May-16	0.70	NA	14	28	AF
7/6/16	SK	AB	121	X1129	13-May-16	0.83	NA	20	40	AB
7/6/16	VR	AB	229	X1761	24-May-16	3.87	NA	103	206	AB
7/6/16	JZ	AB	220	X1755	24-May-16	0.28	NA	12	24	AB
7/6/16	EL	AB	71	X669	17-May-16	4.79	NA	78	156	AF
7/6/16	JZ	AB	218	NA	24-May-16	1.94	NA	42	84	AF
7/6/16	JZ	AB	222	NA	24-May-16	0.06	NA	5	10	AB
7/6/16	JZ	AB	221	NA	24-May-16	0.15	NA	16	32	AF
7/6/16	VP	AB	100	X933	12-May-16	0.28	NA	16	32	AB
7/6/16	EL	AB	70	X665	17-May-16	1.45	NA	38	76	AB
7/6/16	JZ	AB	169	X1390	19-May-16	2.27	NA	59	118	AF
7/6/16	SK	AB	51	X1237	19-May-16	2.93	NA	107	214	AB
7/6/16	JZ	AB	223	NA	24-May-16	1.08	NA	44	88	AF
7/6/16	VP	AB	65	X629	17-May-16	0.45	NA	9	18	AF
7/6/16	EL	AB	72	X775	17-May-16	2.45	NA	99	198	AB
7/6/16	VE	AB	200	X769	20-May-16	1.76	NA	56	112	AB
7/6/16	VP	AB	32	X1126	12-May-16	2.33	NA	46	92	AF
7/6/16	JZ	AB	226	NA	24-May-16	2.21	NA	82	164	AF
7/6/16	SK	AB	122	X1046	13-May-16	3.60	NA	45	90	AF
7/6/16	JZ	AB	173	X1453	20-May-16	0.51	NA	13	26	AF
7/6/16	EL	AB	67	X643	17-May-16	0.31	NA	18	36	AB
7/6/16	VP	AB	98	X923	12-May-16	0.57	NA	14	28	AF
7/6/16	VR	AB	132	X1139	18-May-16	0.37	NA	14	28	AB
7/6/16	EL	AB	61	X604	17-May-16	3.77	NA	55	110	AF
7/6/16	SK	AB	136	X1136	18-May-16	1.14	NA	91	182	AB
7/6/16	VR	AB	12	X516	13-May-16	1.81	NA	73	146	AB
7/6/16	GD	AB	62	X611	17-May-16	0.38	NA	13	26	AB
7/6/16	VP	AB	105	X966	12-May-16	1.11	NA	24	48	AF
7/6/16	JZ	AB	124	X1060	18-May-16	1.02	NA	24	48	AF
7/6/16	EL	AB	131	X1136	18-May-16	0.40	NA	16	32	AF
7/6/16	JZ	AB	230	NA	24-May-16	1.09	NA	42	84	AF
7/6/16	EL	AB	12	X323	18-May-16	1.54	NA	31	62	AF
7/6/16	JZ	AB	55	X596	13-May-16	1.60	NA	57	114	AF
7/6/16	VR	AB	42B	X1822	24-May-16	0.03	NA	6	12	AB
7/6/16	EL	AB	92	X889	12-May-16	0.34	NA	17	34	AF
7/6/16	GD	AB	88	X866	12-May-16	1.82	NA	43	86	AF
7/6/16	SK	AB	49	X808	13-May-16	1.66	NA	49	98	AB
7/6/16	VR	AB	240	X591	13-May-16	0.78	NA	32	64	AF
7/6/16	EL	AB	92	X889	12-May-16	0.30	NA	17	34	AF
7/6/16	VP	AB	101	X940	12-May-16	0.74	NA	49	98	AB
7/6/16	JZ	AB	25	X1887	24-May-16	2.27	NA	74	148	AF
7/6/16	JZ	AB	171	X1432	20-May-16	0.99	NA	34	68	AF
7/6/16	EL	AB	96	X909	12-May-16	3.73	NA	89	178	AF
7/6/16	JZ	AB	46	NA	23-May-16	4.68	NA	146	292	AB
7/6/16	SK	AB	74	X786	17-May-16	1.17	NA	30	60	AF
7/6/16	JZ	AB	177	X1530	20-May-16	1.30	NA	50	100	AF
7/6/16	VP	AB	26	X551	13-May-16	0.83	NA	41	82	AB
7/6/16	GD	AB	91	X640	12-May-16	1.41	NA	40	80	AF
7/6/16	EL	AB	97	X916	12-May-16	0.75	NA	17	34	AF
7/6/16	JZ	AB	106	X974	12-May-16	0.76	NA	18	36	AF
7/6/16	EL	AB	104	X965	12-May-16	0.42	NA	37	74	AB
7/6/16	JZ	AB	31	X957	12-May-16	0.10	NA	4	8	AF
7/6/16	VR	AB	187	X1607	20-May-16	2.07	NA	123	246	AB
7/6/16	GD	AB	103	X950	12-May-16	0.29	NA	19	38	AB
7/6/16	EL	AB	102	X946	12-May-16	0.83	NA	38	76	AB
7/6/16	SJ	AB	189	X1617	20-May-16	1.87	NA	79	158	AF
7/6/16	VP	AB	217	NA	24-May-16	0.41	NA	12	24	AF
7/6/16	EL	AB	89	X862	12-May-16	0.05	NA	6	12	AF
7/6/16	JZ	AB	113	X990	13-May-16	0.94	NA	18	36	AF
7/6/16	GD	AB	110	X1115	12-May-16	0.73	NA	32	64	AB
7/6/16	EL	AB	109	X1109	12-May-16	0.14	NA	7	14	AB
7/6/16	SK	AB	176	X1441	20-May-16	1.25	NA	36	72	AF
7/6/16	VP	AB	107	X980	12-May-16	0.10	NA	4	8	AB
7/6/16	EL	AB	212	NA	24-May-16	1.85	NA	58	116	AF
7/6/16	KZ	AB	23	X1831	24-May-16	0.70	NA	31	62	AF
7/6/16	VP	AB	44	X1147	18-May-16	2.71	NA	76	152	AF
7/6/16	SK	AB	175	X1450	20-May-16	1.16	NA	35	70	AB
7/6/16	GD	AB	202	X1691	20-May-16	1.05	NA	74	148	AF
7/6/16	JZ	AB	66	X624	17-May-16	2.09	NA	62	124	AB
7/6/16	EL	AB	191	X1631	20-May-16	0.56	NA	32	64	AB
7/6/16	VR	AB	187	X1509	20-May-16	2.00	NA	143	286	AF
7/6/16	JZ	AB	182	X1568	20-May-16	2.38	NA	41	82	AB
7/6/16	EL	AB	78	X709	17-May-16	0.61	NA	24	48	AF
7/6/16	JZ	AB	206	NA	23-May-16	1.49	NA	32	64	AB
7/6/16	VP	AB	167	X1380	19-May-16	1.45	NA	61	122	AF
7/6/16	EL	AB	73	X777	17-May-16	0.43	NA	19	38	AB
7/6/16	JZ	AB	208	NA	23-May-16	1.86	NA	111	222	AB
7/6/16	EL	AB	140	X1220	19-May-16	0.90	NA	37	74	AF
7/6/16	EL	AB	37	X813	17-May-16	2.02	NA	51	102	AF
7/6/16	VP	AB	161	X1350	19-May-16	1.47	NA	44	88	AB
7/6/16	GD	AB	64	X623	17-May-16	0.54	NA	15	30	AF
7/6/16	SK	AB	179	X1424	20-May-16	0.25	NA	14	28	AB
7/6/16	EL	AB	80	X725	17-May-16	1.89	NA	72	144	AB
