"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","EG.seed","SP.adult","SP.seed","BH","BD","Avena","FEMY","BRADIS","Forb","Fabaceae","GAST","Density","BG.spp","rust","prop.dam.mini","mean.dam.mini","treat","prop.dam","mean.dam"
"AB","X1203",272,"AB",137,8,10,1,8,40,7,11,0,16.6666666666667,2,4,0,10,"EG adults","0",NA,NA,"fungicide",0.666666666666667,0.017
"AB","X755",136,"AB",160,1,2,1,1,16.6666666666667,2,8.33333333333333,0,6,15,2,0,100,"AB seed","0",NA,NA,"fungicide",0.666666666666667,0.00366666666666667
"AB","X1591",330,"AF",185,2,4,1,1,21,1,7,0,40,6,0,0,2,"EG adults","1",NA,NA,"inoculation",1,0.03
"AB","X1481",76,"AB",180,1,1,1,0,450,14,7,0,5,16,0,0,20,"BD seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"AB","X1490",28,"AB",13,0.5,1,0.5,0,17.5,0.5,2.22222222222222,0,80,7.5,0,0,1,"All","1",NA,NA,"ambient",1,0.007
"AB","X1686",62,"AB",210,1,14,1,0,6,0,53.3333333333333,0,0,90,0,0,40,"EG seed","1",NA,NA,"inoculation",0.333333333333333,0.00333333333333333
"AB","X1396",124,"AB",170,1,180,1,1,14,2,2,0,200,46.6666666666667,0,8.88888888888889,100,"EG seed","0",NA,NA,"ambient",1,0.01
"AB","X1160",454,"AB",57,1,0,0,1,55.5555555555556,7,8.88888888888889,0,0,20,3,0,2,"SP adult","1",NA,NA,"fungicide",0.333333333333333,0.00333333333333333
"AB","X1189",22,"AF",135,1,5,1,0,17,1,41.6666666666667,0,75,3,0,0,80,"AB seed","0",NA,NA,"inoculation",NA,NA
"AB","X1074",74,"AF",126,0,1,1,2,420,1,13.3333333333333,0,40,0,8,0,20,"BH seed","0",NA,NA,"fungicide",NA,NA
"AB","X1355",114,"AF",162,6,0,1,1,32,2,12,0,70,10,4,0,6,"EG adults","0",NA,NA,"ambient",1,0.01
"AB","X1383",68,"AB",168,1,3,0,1,630,0,7,0,40,15,0,0,20,"BH seed","0",NA,NA,"fungicide",0,0
"AB","X1179",38,"AF",134,3,6,1,3,23,3,6,0,120,26,0,0,4,"EG adults","0",NA,NA,"inoculation",1,0.004
"AB","X1475",62,"AB",45,0,3,6,2,24,1,9,0,6,25,6,0,6,"SP adult","0",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"AB","X1164",104,"AB",39,0,4,8,2,21,1,14,0,0,60,5,0,8,"SP adult","1",NA,NA,"fungicide",0.666666666666667,0.00366666666666667
"AB","X313",68,"AB",108,1,8,1,3,53.3333333333333,6,17.7777777777778,0,33.3333333333333,19,0,0,100,"AB seed","1",NA,NA,"ambient",0.666666666666667,0.000666666666666667
"AB","X1402",28,"AF",163,1,12,1,1,13.8888888888889,1,20,0,5,12,2,0,20,"EG seed","1",NA,NA,"inoculation",NA,NA
"AB","X1129",40,"AB",121,1,14,1,2,250,26.6666666666667,13.3333333333333,0,0,18,1,0,100,"BD seed","1",NA,NA,"ambient",0.666666666666667,0.0366666666666667
"AB","X1761",206,"AB",229,1,1,1,1,1600,1,20,0,0,40,0,0,80,"BH seed","0",NA,NA,"fungicide",0,0
"AB","X1755",24,"AB",220,0,1,0,0,8,0,53.3333333333333,0,15,8,0,0,80,"AB seed","1",NA,NA,"ambient",0.666666666666667,0.02
"AB","X669",156,"AF",71,1,1,2,1,180,0,10,0,160,10,15,0,20,"BH seed","1",NA,NA,"inoculation",0,0
"AB","X933",32,"AB",100,1,2,6,2,560,38.8888888888889,27.7777777777778,10,80,200,16.6666666666667,0,100,"BD seed","0",NA,NA,"fungicide",0,0
"AB","X665",76,"AB",70,0,33.3333333333333,1,1,40,1,9,0,100,10,7,0,80,"EG seed","0",NA,NA,NA,NA,NA
"AB","X1390",118,"AF",169,1,5,1,1,7,1,46.6666666666667,0,80,15,0,0,40,"AB seed","0",NA,NA,"fungicide",0,0
"AB","X1237",214,"AB",51,1,8,5,2,26.6666666666667,4,8,5,6,10,2,0,4,"SP adult","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"AB","X629",18,"AF",65,1,80,1,2,6,0,31.1111111111111,0,200,22,13,0,100,"EG seed","1",NA,NA,"inoculation",0.333333333333333,0.000333333333333333
"AB","X775",198,"AB",72,1,4,1,5,4,1,8,0,240,4,29,0,40,"SP seed","0",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"AB","X769",112,"AB",200,1,0,1,0,11,0,31.1111111111111,0,10,1,0,0,100,"AB seed","0",NA,NA,"inoculation",0.666666666666667,0.00366666666666667
"AB","X1126",92,"AF",32,1,11,8,5,12,8,13,0,9,25,7,0,10,"SP adult","1",NA,NA,"ambient",1,0.007
"AB","X1046",90,"AF",122,1,7,1,1,16.6666666666667,13.3333333333333,16.6666666666667,0,100,10,2,0,20,"BD seed","0",NA,NA,"fungicide",0.666666666666667,0.017
"AB","X1453",26,"AF",173,1,7,1,2,5,630,13.8888888888889,0,0,30,2,0,100,"BD seed","0",NA,NA,"inoculation",NA,NA
"AB","X643",36,"AB",67,6,2,1,0,21,2,12,0,90,8,10,0,6,"EG adults","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"AB","X923",28,"AF",98,1,1,1,1,14,2,47.2222222222222,6,15,30,4,0,20,"AB seed","1",NA,NA,"ambient",0.666666666666667,0.00666666666666667
"AB","X1139",28,"AB",132,1,4,1,1,35.5555555555556,2,40,0,160,80,16.6666666666667,0,10,"AB seed","0",NA,NA,"fungicide",NA,NA
"AB","X604",110,"AF",61,9,4,1,2,14,3,7,10,7,15,0,0,10,"EG adults","0",NA,NA,"inoculation",1,0.007
"AB","X1136",182,"AB",136,1,1,1,1,1140,0,10,0,50,8,0,0,80,"BH seed","0",NA,NA,"inoculation",1,0.001
"AB","X516",146,"AB",12,0.5,2,0.5,2,10.5,7,2.22222222222222,0,40,12.5,0,0,1,"All","0",NA,NA,"fungicide",1,0.0233333333333333
"AB","X611",26,"AB",62,0,4,1,1,7.77777777777778,7,26.6666666666667,7,50,124.444444444444,8,0,40,"BD seed","0",NA,NA,"inoculation",0.666666666666667,0.00666666666666667
"AB","X966",48,"AF",105,1,30,0,1,19,2,23.3333333333333,0,0,400,15.5555555555556,0,10,"EG seed","0",NA,NA,"inoculation",1,0.004
"AB","X1060",48,"AF",124,1,40,1,3,420,2,22.2222222222222,0,0,12,1,0,10,"EG seed","1",NA,NA,"inoculation",0.666666666666667,0.017
"AB","X1136",32,"AF",131,1,7,6,0,17,7,17.7777777777778,0,0,90,5,0,2,"EG adults","0",NA,NA,"inoculation",1,0.001
"AB","X323",62,"AF",12,0.5,2,0.5,2,10.5,7,2.22222222222222,0,40,12.5,0,0,1,"All","1",NA,NA,"ambient",1,0.0233333333333333
"AB","X596",114,"AF",55,1,8,2,0,50,3,11.1111111111111,0,50,66.6666666666667,10,0,2,"SP adult","0",NA,NA,"inoculation",1,0.0233333333333333
"AB","X1822",12,"AB",42,0,2,11,4,0,0,7,0,150,4,0,0,8,"SP adult","0",NA,NA,"fungicide",NA,NA
"AB","X889",34,"AF",92,2,1,1,1,640,2,5,20,90,80,13,0,80,"BH seed","0",NA,NA,"inoculation",1,0.001
"AB","X866",86,"AF",88,0,240,1,7,40,5,8,0,0,13,31.1111111111111,0,40,"EG seed","0",NA,NA,NA,NA,NA
"AB","X808",98,"AB",49,1,6,3,0,46.6666666666667,6,8.33333333333333,40,50,25,6,0,4,"SP adult","0",NA,NA,"fungicide",NA,NA
"AB","X591",64,"AF",240,1,1,6,5,12,8,50,0,13.8888888888889,15,5,0,40,"SP seed","1",NA,NA,"inoculation",0.666666666666667,0.00666666666666667
"AB","X889",34,"AF",92,2,1,1,1,640,2,5,20,90,80,13,0,80,"BH seed","0",NA,NA,"inoculation",1,0.001
"AB","X940",98,"AB",101,8,7,1,2,33.3333333333333,11,3,0,0,2,6,0,8,"EG adults","0",NA,NA,"ambient",1,0.004
"AB","X1887",148,"AF",25,0,1,0,0,5.5,1,41.6666666666667,4,80,11.1111111111111,0,11.1111111111111,1,"All","1",NA,NA,"inoculation",1,0.0366666666666667
"AB","X1432",68,"AF",171,1,1,1,0,990,1,17.7777777777778,0,100,5,1,0,40,"BH seed","0",NA,NA,"ambient",NA,NA
"AB","X909",178,"AF",96,1,45,3,3,11,4,10,8,150,16.6666666666667,14,0,10,"EG seed","1",NA,NA,"fungicide",1,0.001
"AB","X786",60,"AF",74,1,0,1,0,3,3,17,0,135,11,4,0,10,"EG seed","1",NA,NA,"ambient",0.333333333333333,0.000333333333333333
"AB","X1530",100,"AF",177,1,1,1,5,17,5,45,0,0,90,3,0,80,"SP seed","1",NA,NA,"inoculation",1,0.007
