"plant.ID","Species","SP.adult","EG.adult","BH","BD","Avena","mean.dam","area","Seed.estimate"
2015.0,AB,4.0,0.0,81.66666667,0.0,70.0,0.0,nan,8.0
2015.1,AB,4.0,0.0,81.66666667,0.0,70.0,0.0,nan,14.0
2015.2,AB,4.0,0.0,81.66666667,0.0,70.0,0.00183333333333,nan,8.0
2015.3,AB,4.0,0.0,183.3333333,0.0,30.55555556,0.0025,nan,13.0
2015.4,AB,4.0,0.0,183.3333333,0.0,30.55555556,0.0851666666667,nan,10.0
2015.5,AB,4.0,0.0,183.3333333,0.0,30.55555556,0.0101666666667,nan,0.0
2015.6,AB,10.0,0.0,63.88888889,11.11111111,26.66666667,0.000333333333333,nan,6.0
2015.7,AB,10.0,0.0,63.88888889,11.11111111,26.66666667,0.00075,nan,8.0
2015.8,AB,10.0,0.0,63.88888889,11.11111111,26.66666667,0.00366666666667,nan,16.0
2015.9,AB,14.0,0.0,53.33333333,0.0,0.0,0.0,nan,6.0
2015.10,AB,14.0,0.0,53.33333333,0.0,0.0,0.003,nan,6.0
2015.11,AB,14.0,0.0,53.33333333,0.0,0.0,0.00183333333333,nan,14.0
2015.12,AB,8.0,0.0,275.0,0.0,0.0,0.00883333333333,nan,14.0
2015.13,AB,8.0,0.0,275.0,0.0,0.0,0.0,nan,0.0
2015.14,AB,8.0,0.0,275.0,0.0,0.0,0.000166666666667,nan,13.0
2015.15,AB,1.0,0.0,116.1111111,0.0,75.77777778,0.00166666666667,nan,8.0
2015.16,AB,1.0,0.0,116.1111111,0.0,75.77777778,0.00333333333333,nan,8.0
2015.17,AB,2.0,6.0,388.8888889,5.555555556,83.33333333,0.0433333333333,nan,11.0
2015.18,AB,2.0,6.0,388.8888889,5.555555556,83.33333333,0.00366666666667,nan,10.0
2015.19,AB,2.0,6.0,388.8888889,5.555555556,83.33333333,0.000333333333333,nan,4.0
2015.20,AB,2.0,7.0,443.3333333,31.11111111,77.77777778,0.0185,nan,30.0
2015.21,AB,4.0,3.0,409.4444444,18.33333333,122.2222222,0.0168333333333,nan,0.0
2015.22,AB,4.0,3.0,409.4444444,18.33333333,122.2222222,0.00166666666667,nan,6.0
2015.23,AB,0.0,1.0,377.7777778,37.77777778,264.4444444,0.0,nan,0.0
2015.24,AB,0.0,1.0,377.7777778,37.77777778,264.4444444,0.000666666666667,nan,0.0
2015.25,AB,4.0,3.0,409.4444444,18.33333333,122.2222222,0.005,nan,0.0
2015.26,AB,2.0,7.0,443.3333333,31.11111111,77.77777778,0.075,nan,4.0
2015.27,AB,2.0,7.0,443.3333333,31.11111111,77.77777778,0.0171666666667,nan,0.0
2015.28,AB,0.0,4.0,511.1111111,186.6666667,76.44444444,0.0202,nan,20.0
2015.29,AB,0.0,5.0,122.7777778,18.88888889,30.22222222,0.0351666666667,nan,12.0
2015.30,AB,4.0,0.0,26.66666667,0.0,104.0,0.0183333333333,nan,11.0
2015.31,AB,4.0,0.0,26.66666667,0.0,104.0,0.0168333333333,nan,2.0
2015.32,AB,6.0,0.0,42.77777778,0.0,63.55555556,0.0025,nan,1.0
2015.33,AB,1.0,0.0,148.8888889,44.44444444,110.6666667,0.000333333333333,nan,10.0
2015.34,AB,1.0,7.0,274.4444444,57.77777778,130.0,0.0005,nan,2.0
2015.35,AB,1.0,7.0,274.4444444,57.77777778,130.0,0.0203333333333,nan,14.0
2015.36,AB,1.0,7.0,274.4444444,57.77777778,130.0,0.0055,nan,0.0
2015.37,AB,1.0,0.0,148.8888889,44.44444444,110.6666667,0.0,nan,4.0
2015.38,AB,1.0,0.0,148.8888889,44.44444444,110.6666667,0.0336666666667,nan,12.0
2015.39,AB,7.0,0.0,248.8888889,4.444444444,0.0,0.01525,nan,0.0
2015.40,AB,0.0,0.0,661.1111111,0.0,119.0,0.0122,nan,10.0
2015.41,AB,0.0,0.0,661.1111111,0.0,119.0,0.00366666666667,nan,2.0
2015.42,AB,7.0,0.0,248.8888889,4.444444444,0.0,0.000333333333333,nan,11.0
2015.43,AB,7.0,0.0,248.8888889,4.444444444,0.0,0.000666666666667,nan,3.0
2015.44,AB,0.0,0.0,661.1111111,0.0,119.0,0.000333333333333,nan,3.0
2015.45,AB,6.0,0.0,66.66666667,0.0,21.33333333,0.00666666666667,nan,11.0
2015.46,AB,6.0,0.0,66.66666667,0.0,21.33333333,0.001,nan,0.0
2015.47,AB,6.0,0.0,66.66666667,0.0,21.33333333,0.017,nan,0.0
2015.48,AB,7.0,0.0,297.2222222,11.11111111,7.222222222,0.0524,nan,10.0
2015.49,AB,7.0,0.0,297.2222222,11.11111111,7.222222222,0.0203333333333,nan,0.0
2015.50,AB,7.0,0.0,297.2222222,11.11111111,7.222222222,0.01,nan,5.0
2015.51,AB,4.0,5.0,3.333333333,6.666666667,8.0,0.013,nan,0.0
2015.52,AB,0.0,8.0,70.0,0.0,0.0,0.00366666666667,nan,8.0
2015.53,AB,2.0,0.0,840.0,38.88888889,0.0,0.01275,nan,8.0
2015.54,AB,2.0,0.0,840.0,38.88888889,0.0,0.025,nan,0.0
2015.55,AB,0.0,1.0,141.6666667,0.0,0.0,0.000166666666667,nan,18.0
2015.56,AB,2.0,0.0,840.0,38.88888889,0.0,0.0125,nan,3.0
2015.57,AB,0.0,1.0,170.0,37.77777778,94.44444444,0.00525,nan,8.0
2015.58,AB,4.0,5.0,3.333333333,6.666666667,8.0,0.01275,nan,6.0
2015.59,AB,4.0,5.0,3.333333333,6.666666667,8.0,0.000666666666667,nan,7.0
2015.60,AB,1.0,0.0,382.2222222,471.1111111,0.0,0.000333333333333,nan,2.0
2015.61,AB,1.0,0.0,382.2222222,471.1111111,0.0,0.0366666666667,nan,4.0
2015.62,AB,0.0,8.0,70.0,0.0,0.0,0.05,nan,6.0
2015.63,AB,0.0,8.0,70.0,0.0,0.0,0.013,nan,5.0
2015.64,AB,1.0,0.0,382.2222222,471.1111111,0.0,0.003,nan,1.0
2015.65,AB,2.0,0.0,146.6666667,83.33333333,50.0,0.00366666666667,nan,0.0
2015.66,AB,2.0,0.0,60.0,0.0,95.55555556,0.000333333333333,nan,6.0
2015.67,AB,2.0,0.0,60.0,0.0,95.55555556,0.02775,nan,6.0
2015.68,AB,0.0,0.0,140.0,13.33333333,0.0,0.014,nan,10.0
2015.69,AB,2.0,0.0,146.6666667,83.33333333,50.0,0.00525,nan,0.0
2015.70,AB,2.0,0.0,146.6666667,83.33333333,50.0,0.00333333333333,nan,0.0
2015.71,AB,0.0,0.0,140.0,13.33333333,0.0,0.00183333333333,nan,10.0
2015.72,AB,0.0,0.0,102.7777778,0.0,0.277777778,0.000666666666667,nan,0.0
2015.73,AB,0.0,1.0,170.0,37.77777778,94.44444444,0.00366666666667,nan,14.0
2015.74,AB,0.0,0.0,140.0,13.33333333,0.0,0.0255,nan,0.0
2015.75,AB,0.0,1.0,170.0,37.77777778,94.44444444,0.0026,nan,0.0
2015.76,AB,9.0,0.0,6.666666667,0.0,6.666666667,0.000166666666667,nan,10.0
2015.77,AB,9.0,0.0,6.666666667,0.0,6.666666667,0.000333333333333,nan,0.0
2015.78,AB,9.0,0.0,6.666666667,0.0,6.666666667,0.0168333333333,nan,12.0
2015.79,AB,3.0,0.0,46.66666667,60.0,84.0,0.00275,nan,25.0
2015.80,AB,3.0,0.0,46.66666667,60.0,84.0,0.0125,nan,12.0
2015.81,AB,3.0,0.0,46.66666667,60.0,84.0,0.0,nan,0.0
2015.82,AB,8.0,0.0,30.55555556,6.111111111,77.0,0.1,nan,0.0
2015.83,AB,8.0,0.0,30.55555556,6.111111111,77.0,0.001,nan,7.0
2015.84,AB,8.0,0.0,30.55555556,6.111111111,77.0,0.0,nan,8.0
2015.85,AB,8.0,0.0,30.55555556,6.111111111,77.0,0.0336666666667,nan,6.0
2015.86,AB,7.0,0.0,72.22222222,0.0,31.77777778,0.054,nan,2.0
2015.87,AB,7.0,0.0,72.22222222,0.0,31.77777778,0.00366666666667,nan,6.0
2015.88,AB,7.0,0.0,72.22222222,0.0,31.77777778,0.042,nan,12.0
2015.89,AB,0.0,1.0,377.7777778,37.77777778,264.4444444,0.0005,nan,4.0
2015.90,SP,9.0,0.0,6.666666667,0.0,6.666666667,0.0166666666667,nan,26.0
2015.91,SP,9.0,0.0,6.666666667,0.0,6.666666667,0.0133333333333,nan,40.0
2015.92,SP,3.0,0.0,46.66666667,60.0,84.0,0.000833333333333,nan,1304.893333
2015.93,SP,3.0,0.0,46.66666667,60.0,84.0,0.017,nan,130.0
2015.94,SP,3.0,0.0,46.66666667,60.0,84.0,0.0685,nan,15.0
2015.95,SP,8.0,0.0,30.55555556,6.111111111,77.0,0.0188333333333,nan,75.4
2015.96,SP,8.0,0.0,30.55555556,6.111111111,77.0,0.0883333333333,nan,91.0
2015.97,SP,8.0,0.0,30.55555556,6.111111111,77.0,0.0166666666667,nan,22.0
2015.98,SP,7.0,0.0,72.22222222,0.0,31.77777778,0.0133333333333,nan,377.0
2015.99,SP,7.0,0.0,72.22222222,0.0,31.77777778,0.0185,nan,52.0
2015.100,SP,7.0,0.0,72.22222222,0.0,31.77777778,0.00383333333333,nan,15.0
2015.101,SP,4.0,0.0,81.66666667,0.0,70.0,0.00333333333333,nan,46.0
2015.102,SP,4.0,0.0,81.66666667,0.0,70.0,0.0035,nan,119.35
2015.103,SP,4.0,0.0,81.66666667,0.0,70.0,0.000333333333333,nan,106.0
2015.104,SP,4.0,0.0,183.3333333,0.0,30.55555556,0.00166666666667,nan,238.76
2015.105,SP,4.0,0.0,183.3333333,0.0,30.55555556,0.0085,nan,250.04
2015.106,SP,4.0,0.0,183.3333333,0.0,30.55555556,0.0101666666667,nan,104.0
2015.107,SP,10.0,0.0,63.88888889,11.11111111,26.66666667,0.00666666666667,nan,104.0
2015.108,SP,10.0,0.0,63.88888889,11.11111111,26.66666667,0.01,nan,105.28
2015.109,SP,10.0,0.0,63.88888889,11.11111111,26.66666667,0.0433333333333,nan,126.9
2015.110,SP,14.0,0.0,53.33333333,0.0,0.0,0.0268333333333,nan,12.0
2015.111,SP,14.0,0.0,53.33333333,0.0,0.0,0.0351666666667,nan,22.0
2015.112,SP,14.0,0.0,53.33333333,0.0,0.0,0.045,nan,35.0
2015.113,SP,8.0,0.0,275.0,0.0,0.0,0.0151666666667,nan,89.0
2015.114,SP,8.0,0.0,275.0,0.0,0.0,0.092,nan,295.5333333
2015.115,SP,8.0,0.0,275.0,0.0,0.0,0.00516666666667,nan,23.0
2015.116,SP,1.0,0.0,116.1111111,0.0,75.77777778,0.00216666666667,nan,764.9766667
2015.117,SP,1.0,0.0,116.1111111,0.0,75.77777778,0.00183333333333,nan,4.0
2015.118,SP,7.0,0.0,248.8888889,4.444444444,0.0,0.0218333333333,nan,922.2333333
2015.119,SP,7.0,0.0,248.8888889,4.444444444,0.0,0.00366666666667,nan,236.0333333
2015.120,SP,7.0,0.0,248.8888889,4.444444444,0.0,0.0188333333333,nan,166.6833333
2015.121,SP,6.0,0.0,66.66666667,0.0,21.33333333,0.0203333333333,nan,289.5666667
2015.122,SP,6.0,0.0,66.66666667,0.0,21.33333333,0.0121666666667,nan,184.9333333
2015.123,SP,6.0,0.0,66.66666667,0.0,21.33333333,0.025,nan,191.0166667
2015.124,SP,7.0,0.0,297.2222222,11.11111111,7.222222222,0.0301666666667,nan,358.9166667
2015.125,SP,7.0,0.0,297.2222222,11.11111111,7.222222222,0.0353333333333,nan,206.8333333
2015.126,SP,7.0,0.0,297.2222222,11.11111111,7.222222222,0.0218333333333,nan,410.0166667
2015.127,SP,2.0,0.0,840.0,38.88888889,0.0,0.00533333333333,nan,1036.6
2015.128,SP,2.0,0.0,840.0,38.88888889,0.0,0.000666666666667,nan,181.2833333
2015.129,SP,1.0,0.0,382.2222222,471.1111111,0.0,0.00233333333333,nan,762.85
2015.130,SP,4.0,5.0,3.333333333,6.666666667,8.0,0.012,nan,214.09
2015.131,SP,4.0,6.0,53.33333333,253.3333333,0.0,0.00383333333333,nan,127.37
2015.132,SP,4.0,6.0,53.33333333,253.3333333,0.0,0.0136666666667,nan,120.1433333
2015.133,SP,4.0,7.0,28.88888889,0.0,0.0,0.0085,nan,100.0
2015.134,SP,4.0,7.0,28.88888889,0.0,0.0,0.002,nan,131.0
2015.135,SP,4.0,0.0,26.66666667,0.0,104.0,0.0416666666667,nan,60.0
2015.136,SP,4.0,0.0,26.66666667,0.0,104.0,0.0506666666667,nan,71.0
2015.137,SP,4.0,0.0,26.66666667,0.0,104.0,0.0338333333333,nan,102.05
2015.138,SP,6.0,0.0,42.77777778,0.0,63.55555556,0.0283333333333,nan,10.0
2015.139,SP,6.0,0.0,42.77777778,0.0,63.55555556,0.0203333333333,nan,171.6
2015.140,SP,6.0,0.0,42.77777778,0.0,63.55555556,0.0201666666667,nan,172.25
2015.141,SP,1.0,0.0,148.8888889,44.44444444,110.6666667,0.044,nan,218.4
2015.142,SP,2.0,6.0,388.8888889,5.555555556,83.33333333,0.0453333333333,nan,60.0
2015.143,SP,1.0,7.0,274.4444444,57.77777778,130.0,0.00366666666667,nan,318.1866667
2015.144,SP,4.0,3.0,409.4444444,18.33333333,122.2222222,0.00233333333333,nan,222.94
2015.145,SP,4.0,3.0,409.4444444,18.33333333,122.2222222,0.0035,nan,280.5066667
2015.146,SP,2.0,7.0,443.3333333,31.11111111,77.77777778,0.0518333333333,nan,157.0
2015.147,SP,2.0,6.0,388.8888889,5.555555556,83.33333333,0.0455,nan,0.0
2015.148,SP,0.0,5.0,122.7777778,18.88888889,30.22222222,0.007,nan,145.8
2015.149,SP,2.0,6.0,388.8888889,5.555555556,83.33333333,0.000666666666667,nan,248.06
2015.150,EG,4.0,5.0,3.333333333,6.666666667,8.0,0.00233333333333,nan,71.0
2015.151,EG,4.0,5.0,3.333333333,6.666666667,8.0,0.00866666666667,nan,136.0
2015.152,EG,4.0,6.0,53.33333333,253.3333333,0.0,0.00366666666667,nan,194.0
2015.153,EG,4.0,6.0,53.33333333,253.3333333,0.0,0.00216666666667,nan,89.0
2015.154,EG,0.0,8.0,70.0,0.0,0.0,0.000666666666667,nan,307.5466667
2015.155,EG,0.0,8.0,70.0,0.0,0.0,0.000666666666667,nan,250.8933333
2015.156,EG,0.0,8.0,70.0,0.0,0.0,0.000833333333333,nan,85.0
2015.157,EG,4.0,7.0,28.88888889,0.0,0.0,0.002,nan,128.0
2015.158,EG,4.0,7.0,28.88888889,0.0,0.0,0.0166666666667,nan,35.0
2015.159,EG,4.0,7.0,28.88888889,0.0,0.0,0.002,nan,206.38
2015.160,EG,0.0,1.0,170.0,37.77777778,94.44444444,0.0518333333333,nan,81.0
