"plant.ID","Species","SP.adult","EG.adult","BH","BD","Avena","mean.dam","area","Seed.estimate"
137.0.X1203,AB,1.0,8.0,40.0,7.0,11.0,0.017,nan,272
160.0.X755,AB,1.0,1.0,16.6666666667,2.0,8.33333333333,0.00366666666667,nan,136
185.0.X1591,AB,1.0,2.0,21.0,1.0,7.0,0.03,nan,330
180.0.X1481,AB,1.0,1.0,450.0,14.0,7.0,0.000333333333333,nan,76
13.0.X1490,AB,0.5,0.5,17.5,0.5,2.22222222222,0.007,nan,28
210.0.X1686,AB,1.0,1.0,6.0,0.0,53.3333333333,0.00333333333333,nan,62
170.0.X1396,AB,1.0,1.0,14.0,2.0,2.0,0.01,nan,124
57.0.X1160,AB,0.0,1.0,55.5555555556,7.0,8.88888888889,0.00333333333333,nan,454
135.0.X1189,AB,1.0,1.0,17.0,1.0,41.6666666667,NA,nan,22
126.0.X1074,AB,1.0,0.0,420.0,1.0,13.3333333333,NA,nan,74
162.0.X1355,AB,1.0,6.0,32.0,2.0,12.0,0.01,nan,114
168.0.X1383,AB,0.0,1.0,630.0,0.0,7.0,0.0,nan,68
134.0.X1179,AB,1.0,3.0,23.0,3.0,6.0,0.004,nan,38
45.0.X1475,AB,6.0,0.0,24.0,1.0,9.0,0.000666666666667,nan,62
39.0.X1164,AB,8.0,0.0,21.0,1.0,14.0,0.00366666666667,nan,104
108.0.X313,AB,1.0,1.0,53.3333333333,6.0,17.7777777778,0.000666666666667,nan,68
163.0.X1402,AB,1.0,1.0,13.8888888889,1.0,20.0,NA,nan,28
121.0.X1129,AB,1.0,1.0,250.0,26.6666666667,13.3333333333,0.0366666666667,nan,40
229.0.X1761,AB,1.0,1.0,1600.0,1.0,20.0,0.0,nan,206
220.0.X1755,AB,0.0,0.0,8.0,0.0,53.3333333333,0.02,nan,24
71.0.X669,AB,2.0,1.0,180.0,0.0,10.0,0.0,nan,156
100.0.X933,AB,6.0,1.0,560.0,38.8888888889,27.7777777778,0.0,nan,32
70.0.X665,AB,1.0,0.0,40.0,1.0,9.0,NA,nan,76
169.0.X1390,AB,1.0,1.0,7.0,1.0,46.6666666667,0.0,nan,118
51.0.X1237,AB,5.0,1.0,26.6666666667,4.0,8.0,0.000666666666667,nan,214
