Counting Date	Counter	Species	Transect	Plot	Treatment	Plant ID	Collection Date	Weight	Seed Count	Notes
22-Jun-16	SCD	EG	3	A	AM	X417	25-May-16	0.58	178	
22-Jun-16	SCD	EG	5	C	AM	EG1	25-May-16	0.17	53	
22-Jun-16	SCD	EG	5	C	AM	EG3	25-May-16	1.02	305	
22-Jun-16	SCD	EG	5	C	AM	EG2	25-May-16	0.12	37	
22-Jun-16	SCD	EG	5	E	AM	X191	25-May-16	1.29	335	
23-Jun-16	SCD	EG	5	E	AM	X406	25-May-16	0.20	96	
23-Jun-16	SCD	EG	5	A	FUN	X194	25-May-16	0.55	177	
23-Jun-16	SCD	EG	5	A	FUN	X192	25-May-16	2.51	785	
28-Jun-16	VR	BD	3	E	FUN	BD1	25-May-16	0.20	8	
28-Jun-16	VP	BH	4	A	AM	BH2	27-May-16	NA	4	<0.01; TOO LIGHT TO REGISTER
28-Jun-16	DM	EG	6	A	AM	X448	26-May-16	0.81	207	
25-Jun-16	SK	EG	6	A	FUN	EG3	26-May-16	0.24	44	
28-Jun-16	VR	BD	8	E	INOC	BD1	26-May-16	0.22	17	
28-Jun-16	VP	BH	4	A	AM	BH1	27-May-16	0.01	5	
28-Jun-16	JZ	EG	8	A	INOC	EG1	26-May-16	3.10	556	
28-Jun-16	VP	BH	4	E	INOC	BH3	27-May-16	NA	3	<0.01; TOO LIGHT TO REGISTER
28-Jun-16	VP	BH	4	E	INOC	BH2	27-May-16	NA	3	<0.01; TOO LIGHT TO REGISTER
28-Jun-16	VP	BH	4	E	INOC	BH1	27-May-16	NA	5	<0.01; TOO LIGHT TO REGISTER
28-Jun-16	VR	BD	4	E	INOC	BD1	27-May-16	0.10	9	
28-Jun-16	JZ	EG	5	C	AM	EG2	26-May-16	3.10	553	
28-Jun-16	VP	BH	4	C	FUN	BH2	27-May-16	NA	3	<0.01; TOO LIGHT TO REGISTER
28-Jun-16	VP	BH	4	C	AM	BH3	27-May-16	NA	7	<0.01; TOO LIGHT TO REGISTER
28-Jun-16	SK	BH	4	E	FUN	BH3	27-May-16	0.01	2	
28-Jun-16	SK	EG	6	E	AM	EG240	26-May-16	3.92	767	
28-Jun-16	VP	BH	4	C	FUN	BH1	27-May-16	0.01	7	
28-Jun-16	VR	EG	6	A	FUN	EG1	26-May-16	0.46	83	
28-Jun-16	VP	EG	8	A	AM	X482	26-May-16	0.52	107	
28-Jun-16	DM	EG	5	A	FUN	X193	25-May-16	0.08	41	
28-Jun-16	VP	EG	5	A	AM	X394	25-May-16	0.37	115	
28-Jun-16	DM	EG	5	A	AM	X188	25-May-16	0.79	258	
28-Jun-16	EL	BD	5	A	INOC	BD2	25-May-16	0.11	6	
28-Jun-16	VP	EG	5	A	AM	X186	25-May-16	0.44	153	
28-Jun-16	EL	BD	5	A	INOC	BD1	25-May-16	0.09	6	
28-Jun-16	JZ	EG	8	C	INOC	EG3	26-May-16	0.32	71	
28-Jun-16	VR	BD	4	E	FUN	BD2	27-May-16	0.06	7	
28-Jun-16	EL	BD	4	E	FUN	BD3	27-May-16	0.41	56	
28-Jun-16	VP	EG	5	A	INOC	X191	25-May-16	0.32	111	
28-Jun-16	JZ	EG	8	E	FUN	EG	26-May-16	0.23	0.76	
28-Jun-16	VR	BD	4	C	INOC	BD1	27-May-16	0.11	13	
28-Jun-16	EL	BH	4	E	FUN	BH2	27-May-16	NA	3	<0.01; TOO LIGHT TO REGISTER
28-Jun-16	EL	BD	5	A	FUN	BD2	25-May-16	0.40	52	
28-Jun-16	DM	EG	5	A	INOC	X190	25-May-16	0.33	87	
28-Jun-16	JZ	EG	8	E	INOC	EG1	26-May-16	1.13	261	
28-Jun-16	VP	EG	5	A	INOC	X189	28-May-16	0.51	178	
28-Jun-16	EL	BD	5	A	AM	X392	25-May-16	NA	1	<0.01; TOO LIGHT TO REGISTER
28-Jun-16	VR	BD	4	C	INOC	BD3	27-May-16	0.24	15	
28-Jun-16	EL	BD	1	C	FUN	BD1	27-May-16	0.11	15	
28-Jun-16	EL	BD	5	A	AM	X391	25-May-16	0.03	3	
28-Jun-16	SK	EG	5	C	FUN	5C	25-May-16	1.16	329	CHECK PLANT ID #
28-Jun-16	VR	BH	4	C	INOC	BH1	27-May-16	0.03	7	
28-Jun-16	DM	EG	8	A	AM	EG2	26-May-16	0.10	47	
28-Jun-16	VR	BD	4	C	INOC	BD2	27-May-16	0.08	8	
28-Jun-16	EL	BD	4	A	FUN	BD3	27-May-16	0.08	11	
28-Jun-16	JZ	BD	4	C	INOC	BH2	27-May-16	0.06	25	
28-Jun-16	EL	BD	4	A	FUN	BD1	27-May-16	0.13	11	
28-Jun-16	SH	EG	8	A	AM	EG1	26-May-16	0.31	52	
28-Jun-16	VR	BD	4	A	FUN	BD2	27-May-16	0.10	6	
28-Jun-16	VP	EG	6	C	INOC	EG3	26-May-16	1.10	250	
28-Jun-16	DM	EG	6	C	INOC	EG2	26-May-16	0.58	126	
28-Jun-16	EL	BD	1	C	FUN	BD3	27-May-16	0.11	15	
28-Jun-16	JZ	BD	4	E	AM	BD1	27-May-16	0.04	7	
28-Jun-16	VR	BD	4	A	AM	BD1	27-May-16	0.29	25	
28-Jun-16	EL	BD	1	C	FUN	BD2	27-May-16	0.10	12	
28-Jun-16	JZ	BH	4	C	INOC	BH3	27-May-16	NA	7	<0.01; TOO LIGHT TO REGISTER
28-Jun-16	EL	BD	4	A	AM	X470	27-May-16	0.13	15	
28-Jun-16	VR	EG	8	C	INOC	EG2	26-May-16	0.36	76	
28-Jun-16	JZ	BD	4	A	AM	BD2	27-May-16	0.19	24	
28-Jun-16	EL	BD	4	A	INOC	BD3	27-May-16	0.08	4	
28-Jun-16	SK	EG	6	C	INOC	EG1	26-May-16	1.08	222	
28-Jun-16	EL	BD	1	E	INOC	BD1	27-May-16	0.14	14	
28-Jun-16	JZ	BH	4	E	AM	BH2	27-May-16	0.04	15	
28-Jun-16	JZ	BH	4	E	AM	BH3	27-May-16	0.03	13	
28-Jun-16	EL	BD	5	A	AM	X390	25-May-16	0.04	2	
28-Jun-16	JZ	BH	4	E	AM	BH1	27-May-16	0.03	13	
28-Jun-16	EL	BD	1	E	AM	X511	27-May-16	0.25	23	
28-Jun-16	JZ	BD	4	E	AM	BD2	27-May-16	0.04	7	
28-Jun-16	JZ	BD	4	E	AM	BD3	27-May-16	0.04	12	
28-Jun-16	EL	BD	1	E	AM	X513	27-May-16	0.36	27	
28-Jun-16	DM	EG	6	E	INOC	EG3	26-May-16	0.62	237	
28-Jun-16	JZ	BD	4	E	FUN	BD1	27-May-16	0.33	37	
28-Jun-16	VR	BD	1	E	FUN	BD3	27-May-16	0.21	14	
28-Jun-16	VR	BH	1	E	FUN	BH3	27-May-16	0.04	7	
29-Jun-16	EL	BD	4	A	INOC	BD1	27-May-16	0.04	4	
28-Jun-16	SK	EG	8	C	FUN	EG3	26-May-16	0.45	100	
28-Jun-16	VR	BD	1	E	FUN	BD2	27-May-16	0.12	10	
28-Jun-16	DM	EG	6	C	AM	EG3	26-May-16	0.85	176	
28-Jun-16	SK	EG	8	A	INOC	EG2	26-May-16	0.54	78	
28-Jun-16	VR	BD	1	E	INOC	BD3	27-May-16	0.02	24	
28-Jun-16	SK	BD	5	E	INOC	BD3	25-May-16	0.10	9	
28-Jun-16	VR	EG	6	A	AM	X449	26-May-16	0.10	21	
28-Jun-16	SK	BH	6	C	FUN	BH2	26-May-16	0.01	20	
28-Jun-16	SK	BD	5	C	INOC	BD1	25-May-16	0.03	2	
