"trans","plot","spcode","Plant.ID","mean.dam","n.leaves.mar","n.dam.mar","trans.type","EG.adult","SP.adult","PHAaqu","Avena","BD","BH","FESper","BROste","FESmyu","BRAdis","AVEfat","mean.dam.apr","n.leaves.apr","n.dam.apr","Seed.estimate","zseeds","zdam.mar","zdam.apr","fungus.id"
"1","A","SP","A860",0.0166666666666667,6,2,"STPU",0,9,0,6.666666667,0,6.666666667,0,0,0,0,4.444444444,0.00533333333333333,6,5,26,-0.711358206337642,-0.17188891100987,-0.874073007866089,"AN"
"1","A","SP","A861",0.0133333333333333,6,4,"STPU",0,9,0,6.666666667,0,6.666666667,0,0,0,0,4.444444444,0.0218333333333333,6,6,40,-0.656595701101389,-0.333448596242568,0.160659814906715,NA
"1","A","SP","A862",0.01,6,2,"STPU",0,9,0,6.666666667,0,6.666666667,0,0,0,0,4.444444444,0.0185,6,3,NA,NA,-0.495008281475266,-0.0483771189867803,"AN"
"2","C","AB","AB007",0,4,0,"PHAQ",0,4,4,70,0,81.66666667,0,0,0,202.2222222,0,0.12525,4,2,8,0.247358506387331,-0.581966696157535,0.42435149611113,NA
"2","C","AB","AB008",0,3,0,"PHAQ",0,4,4,70,0,81.66666667,0,0,0,202.2222222,0,0,5,0,14,1.24417636794822,-0.581966696157535,-0.602871386068693,NA
"2","C","AB","AB009",0.00183333333333333,6,2,"PHAQ",0,4,4,70,0,81.66666667,0,0,0,202.2222222,0,0.017,3,2,8,0.247358506387331,-0.502066712910621,-0.46344792102233,NA
"2","D","AB","AB015",0.0025,4,1,"PHAQ",0,4,3,30.55555556,0,183.3333333,0,0,0,0,0,NA,NA,NA,13,1.07804005768807,-0.473012173548107,NA,NA
"2","D","AB","AB016",0.0851666666666667,6,3,"PHAQ",0,4,3,30.55555556,0,183.3333333,0,0,0,0,0,NA,NA,NA,10,0.579631126907627,3.12975070740365,NA,NA
"2","D","AB","AB017",0.0101666666666667,6,3,"PHAQ",0,4,3,30.55555556,0,183.3333333,0,0,0,0,0,NA,NA,NA,0,-1.08173197569385,-0.138884970879195,NA,NA
"2","E","AB","AB021",0.000333333333333333,3,1,"PHAQ",0,10,0,26.66666667,11.11111111,63.88888889,0,0,0,0,40,0,3,0,6,-0.0849141141329645,-0.567439426476278,-0.602871386068693,NA
