"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","SP.adult","BH","BD","Avena","Forb","Fabaceae","BRADIS","FEMY","POA","treat","Plot","trans","ind","rust","prop.dam.mini","mean.dam.mini","prop.dam","mean.dam"
"EG","X417",178,"","3.A.ambient",1,9,5,2,23.3333333333333,80,0,0,0,0,"ambient","A",3,"3.A.ambient.X417","0",NA,NA,1,0.004
"EG","EG1",53,"","5.C.ambient",8,1,125,2,10,900,6.66666666666667,0,0,0,"ambient","C",5,"5.C.ambient.EG1","0",NA,NA,1,0.0055
"EG","EG3",305,"","5.C.ambient",8,1,125,2,10,900,6.66666666666667,0,0,0,"ambient","C",5,"5.C.ambient.EG3","0",NA,NA,1,0.004
"EG","EG2",37,"","5.C.ambient",8,1,125,2,10,900,6.66666666666667,0,0,0,"ambient","C",5,"5.C.ambient.EG2","0",NA,NA,0.666666666666667,0.000666666666666667
"EG","X191",335,"","5.E.ambient",0,0,133.333333333333,8,53.3333333333333,66.6666666666667,15,0,0,0,"ambient","E",5,"5.E.ambient.X191","0",1,0.03516666667,1,0.01
"EG","X406",96,"","5.E.ambient",0,0,133.333333333333,8,53.3333333333333,66.6666666666667,15,0,0,0,"ambient","E",5,"5.E.ambient.X406","0",NA,NA,0.666666666666667,0.00366666666666667
"EG","X194",177,"","5.A.fungicide",12,3,0,11.1111111111111,11.1111111111111,62.2222222222222,0,0,3,0,"fungicide","A",5,"5.A.fungicide.X194","0",0.333333333,0.00033333333,0.666666666666667,0.000666666666666667
"EG","X192",785,"","5.A.fungicide",12,3,0,11.1111111111111,11.1111111111111,62.2222222222222,0,0,3,0,"fungicide","A",5,"5.A.fungicide.X192","0",0,0,1,0.001
"BD","BD1",8,"","3.E.fungicide",1,1,0,0,210,180,11.1111111111111,450,0,0,"fungicide","E",3,"3.E.fungicide.BD1","0",NA,NA,NA,NA
"BH","BH2",4,"<0.01; TOO LIGHT TO REGISTER","4.A.ambient",0,12,0,0,30,15,4,1,0,0,"ambient","A",4,"4.A.ambient.BH2","0",NA,NA,NA,NA
"EG","X448",207,"","6.A.ambient",11,5,320,1,71.1111111111111,600,1,0,0,0,"ambient","A",6,"6.A.ambient.X448","0",NA,NA,1,0.004
"EG","EG3",44,"","6.A.fungicide",6,8,300,350,100,10,4,0,0,0,"fungicide","A",6,"6.A.fungicide.EG3","0",NA,NA,0.333333333333333,0.000333333333333333
"BD","BD1",17,"","8.E.inoculation",3,0,0,2,100,200,0,0,0,0,"inoculation","E",8,"8.E.inoculation.BD1","0",NA,NA,NA,NA
"BH","BH1",5,"","4.A.ambient",0,12,0,0,30,15,4,1,0,0,"ambient","A",4,"4.A.ambient.BH1","0",NA,NA,NA,NA
"EG","EG1",556,"","8.A.inoculation",1,9,16.6666666666667,0,1,200,0,0,60,0,"inoculation","A",8,"8.A.inoculation.EG1","0",NA,NA,NA,NA
"BH","BH3",3,"<0.01; TOO LIGHT TO REGISTER","4.E.inoculation",0,3,960,44.4444444444444,35.5555555555556,12,450,0,0,0,"inoculation","E",4,"4.E.inoculation.BH3","0",NA,NA,NA,NA
"BH","BH2",3,"<0.01; TOO LIGHT TO REGISTER","4.E.inoculation",0,3,960,44.4444444444444,35.5555555555556,12,450,0,0,0,"inoculation","E",4,"4.E.inoculation.BH2","0",NA,NA,NA,NA
"BH","BH1",5,"<0.01; TOO LIGHT TO REGISTER","4.E.inoculation",0,3,960,44.4444444444444,35.5555555555556,12,450,0,0,0,"inoculation","E",4,"4.E.inoculation.BH1","0",NA,NA,NA,NA
"BD","BD1",9,"","4.E.inoculation",0,3,960,44.4444444444444,35.5555555555556,12,450,0,0,0,"inoculation","E",4,"4.E.inoculation.BD1","0",NA,NA,NA,NA
"EG","EG2",553,"","5.C.ambient",8,1,125,2,10,900,6.66666666666667,0,0,0,"ambient","C",5,"5.C.ambient.EG2","0",NA,NA,0.666666666666667,0.000666666666666667
"BH","BH2",3,"<0.01; TOO LIGHT TO REGISTER","4.C.fungicide",0,10,40,0,133.333333333333,0,250,1,0,0,"fungicide","C",4,"4.C.fungicide.BH2","0",NA,NA,NA,NA
"BH","BH3",7,"<0.01; TOO LIGHT TO REGISTER","4.C.ambient",1,9,400,40,18,200,75,0,0,0,"ambient","C",4,"4.C.ambient.BH3","0",NA,NA,NA,NA
"BH","BH3",2,"","4.E.fungicide",0,4,373.333333333333,175,15,18,240,0,0,0,"fungicide","E",4,"4.E.fungicide.BH3","0",NA,NA,NA,NA
"EG","EG240",767,"","6.E.ambient",1,1,800,66.6666666666667,266.666666666667,100,0,0,0,160,"ambient","E",6,"6.E.ambient.EG240","0",NA,NA,1,0.007
"BH","BH1",7,"","4.C.fungicide",0,10,40,0,133.333333333333,0,250,1,0,0,"fungicide","C",4,"4.C.fungicide.BH1","0",NA,NA,NA,NA
"EG","EG1",83,"","6.A.fungicide",6,8,300,350,100,10,4,0,0,0,"fungicide","A",6,"6.A.fungicide.EG1","0",NA,NA,0.333333333333333,0.000333333333333333
"EG","X482",107,"","8.A.ambient",6,8,100,1,2,400,0,0,0,0,"ambient","A",8,"8.A.ambient.X482","0",NA,NA,1,0.0336666666666667
"EG","X193",41,"","5.A.fungicide",12,3,0,11.1111111111111,11.1111111111111,62.2222222222222,0,0,3,0,"fungicide","A",5,"5.A.fungicide.X193","0",0.166666667,0.00016666667,0.333333333333333,0.000333333333333333
